['/people/appointed_role/appointment./people/appointment/appointed_by'],"[0.12379350019212541, -0.15222731004464135, -0.1164941072190509, -0.08114980463481564, 0.08434280076260219, -0.14656841201274742, 0.150073988508404, -0.04801743590376555, 0.09559210265042659, 0.01320116401733042, -0.09340812769080442, -0.13540727687915502, -0.1419635117584708, -0.022189638621196075, 0.1349751526609724, -0.09080107124441279, 0.12233080423764725, -0.0074948580875068595, -0.030128240062863684, -0.0064082489636608855, -0.08982491154052379, 0.011819281554646278, -0.16100859172420184, -0.12670420942579433, -0.07942411236706476, -0.0019406927000962665, 0.10359639031061801, 0.131220695053007, 0.10554412707565286, -0.17069752027578708, 0.11825833383689031, -0.13617646117783946, 0.03788507802843366, 0.15832626414635714, -0.16217023913852877, -0.05011494205786536, -0.06600278401425874, 0.07000139734452299, -0.13953948013781145, 0.01157010731753414, 0.14196049552620052, -0.03803231310713272, 0.06791923324332567, -0.1733212654281987, 0.10028477529418701, 0.10197201343239602, -0.04849897333822291, 0.034995159571472895, 0.17332985337499116, -0.002031589710047522, -0.15641014798156044, 0.12275194777524341, 0.14264325605369896, -0.11363969177538001, -0.01829907421556207, -0.06844154488942823, 0.03009916137551716, -0.030941111813393204, 0.07609048396314112, 0.04265454533732633, 0.1314426810685193, 0.04543846491483156, -0.0226466406877379, -0.09417092425844471, -0.08579824211725322, -0.04527295975232608, 0.03236779306458104, -0.04709564639551292, 0.008550635382524645, 0.14677905472074865, 0.01448491827356023, 0.00605197649468002, 0.16676234128856465, 0.0822647095767478, -0.08209140560399976, -0.07433633058838013, -0.12039433951219074, -0.07076650482569033, -0.024280549014713656, -0.12774269922583203, -0.044111780693408445, -0.07176671171907162, -0.13961903498991127, -0.16378965306885604, -0.13016416592624885, -0.018024314139436448, -0.09495729396373975, 0.16630814440824185, -0.022187515838076727, -0.1487044459844945, -0.08264949267618371, 0.1780173879826725, -0.022938460670118153, -0.028733140037511238, 0.10065321719594272, -0.01707161385802162, 0.09303552093810949, 0.04692904576890393, 0.074556287568985, -0.0789372355148383]"
['/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency'],"[-0.006429807361573044, -0.16554536551969812, 0.14264447525888205, -0.02113093944658099, -0.1414921182307289, -0.15235393390383473, -0.03453113553764667, 0.019971949123850002, 0.07037932904172779, -0.07442031041613684, 0.039745762422156584, 0.17316749677502496, -0.14826451727568668, -0.07064303847642363, 0.02898061055450073, -0.0824859053437094, 0.10330987496984008, 0.14963786642606602, -0.03090174060341298, 0.09732479666248879, 0.16255060238889352, -0.08339350532969067, 0.10495580651800196, 0.08326056921947518, 0.0021490007046382955, -0.12312763231140408, 0.028429242160160514, 0.0509106960966574, -0.17106266823258756, -0.1330362597186933, -0.025218370761754167, 0.06838608044787199, 0.16542408830075944, 0.09201348371280663, -0.16779284676329453, -0.048193644480856196, 0.12789031547910223, -0.04138995089590132, 0.045020777348728544, 0.15465306337501056, -0.011823920542310153, -0.1654635818416303, -0.01440092153766704, -0.016237762857196938, 0.023741418490769113, 0.04912386871668119, -0.03031831266013504, -0.12234954290344341, 0.14255982247234728, -0.08670492552627357, 0.1522369985132447, -0.09599198601645888, -0.1174269725612242, 0.06594418227473198, 0.03898775144237855, 0.05412870947062713, 0.16800415607854585, 0.08191437602940059, 0.07816620264359544, 0.04171972163088271, -0.033091348002251025, -0.15775626782790575, 0.04402390655076031, -0.12196269163323553, -0.1334940584588963, 0.10606194183581986, 0.007245615604364185, 0.061226593912601206, 0.06357133155891427, -0.07996271054751573, -0.12775755328793859, 0.011840675195337188, -0.0909867602977068, -0.11366995884405466, 0.03674591597340126, -0.023040326303045956, -0.08147783310548784, -0.06631062944190844, 0.12063378460984867, -0.16294387852642833, 0.05418846152553761, -0.022516333719060786, 0.03857972962145633, 0.10559380557106114, -0.10277533981241775, 0.010301827448209242, -0.011646887522627807, -0.013927129895215285, 0.05627062299088132, 0.02168177204555601, 0.1369718132904987, -0.16891483461876794, 0.13505844067983755, -0.13489925366490346, -0.10180833693533606, -0.16120841837653044, -0.16567227538365503, -0.08747148940344308, 0.0500441711296498, -0.12504399232820887]"
['/tv/tv_series_episode/guest_stars./tv/tv_guest_role/actor'],"[-0.07212230192742376, -0.05320568493943362, -0.03334499034514867, 0.0010890378206546059, -0.10790947423063126, 0.034320521203955096, -0.05358446349523153, 0.0011397066027135853, -0.045022964805408065, 0.11411862272551826, -0.08033575838420763, 0.028330227907789537, -0.11626780891393629, 0.0844579584627558, 0.09882970999039536, 0.166870371845877, 0.116496879561288, -0.06590476029708234, -0.007764631528209511, 0.15043645343358727, 0.04343313527986801, -0.15951900186768314, 0.15591844048655198, 0.11246081284342108, 0.03464335447252587, 0.0402335299417902, 0.07905094656236969, 0.15019403877422843, 0.03476206638277919, 0.08789273554219763, 0.15939378811049315, 0.020311105094782334, -0.15469399783885934, -0.11761283515464165, -0.015194476830705156, 0.06392903039672519, 0.165353022105274, 0.14101614441889154, 0.1380101124616933, 0.0493406028181652, -0.1578166255608768, 0.01855157610783665, -0.1325670380659958, 0.07013895810601177, 0.09878345862542383, 0.11671352994848225, 0.057597180191245156, -0.13678699973650882, 0.030629831394980725, 0.03808682125047369, 0.08291499805552033, 0.1611768287154634, 0.07387244899318533, 0.049605784076279406, -0.06538986845603735, 0.12915356498482522, 0.14992184964832395, 0.10346206246676587, 0.09910576264503382, 0.1307871646926733, 0.036361074972713334, 0.1393638009775856, -0.11204270868078615, -0.11599226703696862, -0.15015319201353813, 0.1265302539226526, 0.14683522307750366, -0.027462595275572713, 0.025997297539756364, 0.16143798861468547, 0.1575877790351655, -0.007372989522531315, -0.10914400712879332, -0.1470765391269567, -0.04263905234701962, -0.09672926475600278, -0.03367590227563014, 0.16044747546048585, -0.055450230436189435, 0.08990401919624634, -0.08492759498887971, -0.08936192293953153, 0.10328851521559484, -0.049582894151139034, 0.0072311127430484, -0.056805116232692444, -0.09683897073524336, 0.09898971521234758, -0.08774335934092865, 0.04088884228588769, -0.11024702410875484, -0.059281264323407294, -0.03982666325010814, 0.14867004086106841, 0.036290673260775355, 0.08123692998113795, 0.09780630834063146, -0.13491168696034106, -0.03923496636118597, 0.128109297397566]"
['/music/performance_role/track_performances./music/track_contribution/contributor'],"[0.011491428022787445, -0.11633747689356654, 0.06803886562585372, 0.12536696658200083, -0.1304949327669842, 0.10977230687997319, -0.010690408473946865, -0.10885972940233125, 0.13138023857907874, 0.13468736963166875, 0.09002826511886595, 0.07040576816290463, 0.024394917368638032, 0.008640730270025036, -0.12195867221404216, -0.04635447276503875, 0.014828866918836697, -0.07148514667376245, 0.10548521068345383, 0.041125938748203285, -0.0967834326007691, 0.149183685066909, -0.13635427597461852, 0.013086987486130488, 0.09111138872941503, -0.151100792583241, 0.14507701329548522, 0.12592427760415673, -0.09618246008123948, 0.008916457454918095, 0.07366113093742707, -0.09102032455865633, 0.08072859074538859, 0.01886321075406264, -0.11955511272625932, 0.11542175588400665, 0.0784061139854525, 0.07721011082143703, -0.13813282566280227, -0.02492127203619669, 0.1566463784235376, 0.13367133004558077, -0.10443322606125258, -0.16420865931157777, 0.12144252897858916, -0.0012750697308277071, 0.007814187096168681, -0.14152622382903332, 0.14741769395406784, 0.09879008075916398, -0.05256409610681194, 0.1236342939639491, 0.15110678702004565, -0.07593435622657084, -0.103402273757305, -0.1611565460669561, 0.11614294428930623, 0.11480649806442873, 0.058412820383025456, 0.16433277627816104, 0.09497446889954976, 0.16366837137125548, 0.04255970315552125, 0.02842382603498934, 0.14624689064960594, 0.12210550609879654, -0.10772955364967214, 0.044828245857597586, -0.08808905515502542, -0.07978490409914304, 0.15630852175076496, -0.12147027506481084, -0.08229009707040415, -0.11461702839377229, -0.07456659975824692, -0.061646336569530544, -0.014078143433535086, 0.09016829833637244, -0.0967973730258432, -0.08851946247301004, 0.00564684845525938, 0.06574440357136364, -0.030419367234211223, 0.03743642887250097, 0.09441241099842433, 0.02508844078831371, 0.015493278960554508, -0.13972779015000655, 0.11882944964720812, -0.049877554028941604, -0.1401007710715944, 0.05522124059401368, 0.12631051570971846, 0.06488270720609066, -0.13272640953223833, 0.03612590487387151, 0.1413682606975077, 0.02123236187363751, 0.09350319754637264, -0.07664481273597909]"
['/medicine/disease/prevention_factors'],"[-0.06926332821677689, -0.021681517336743818, -0.0404944116621313, 0.02251112798125417, -0.04113568061055193, 0.06942417483571951, 0.027245055800875894, 0.13452389504626489, 0.17749538665140135, -0.13182934126254503, 0.012359656476514078, -0.07974492211555138, 0.1571381154583982, -0.16759791649907482, 0.039127770228479235, -0.1706885554555948, -0.006395343429045049, 0.1775798887493492, -0.09431888638067608, -0.08167176831148437, -0.016549926379872, -0.11495095525265962, -0.09005453148514692, 0.11462200676705148, 0.010792131875661805, 0.14603316775201153, -0.09442223428221452, -0.09083873085147307, -0.14471749884341728, 0.1388168295558104, 0.153781035751658, -0.127445630605224, -0.1322350044814694, 0.009862235001510416, -0.08161603657011797, 0.05199892834045332, 0.08885963791142155, 0.01437899868841707, -0.11663478352357773, 0.01078120590567892, 0.12776421603202273, -0.021569767485597212, -0.07992567238789251, -0.06289383572778744, -0.009586134844416613, 0.04371069160343177, 0.09316024179907069, -0.023713729830317998, -0.13165452242124684, -0.07217980088619078, -0.08268741683643552, 0.014893291102418688, 0.059219391570470035, 0.051322803982474345, 0.16206145786544576, -0.09654508206689551, -0.17524567993861853, 0.1355573184262411, 0.1788825040542504, 0.05866936962452947, -0.04590760526043303, 0.16094626911219242, 0.1689803344416411, -0.1237924979390768, -0.1712853613990074, -0.10878429361512364, -0.16104514841124265, -0.05423834546768337, 0.03145234470062536, 0.079384277091755, 0.02441788822448662, 0.004070268124902454, -0.009945520423907108, 0.007589762305398875, 0.023266504831684867, -0.11745713315299972, 0.04487427866248761, -0.012140968625489527, 0.13851780459378907, -0.10920601311438187, -0.08726948257453385, 0.03403616697852033, 0.13827126293090122, 0.005149559798482336, -0.0031780751323392973, 0.00919073281992216, -0.12857966861337117, 0.007705996890365821, 0.12772707236079275, 0.02833177112381433, -0.0393923409912749, -0.16640076930400305, -0.08345030235490765, -0.1437000648393631, 0.037722272837711374, 0.17115142475064438, -0.028819180759229717, -0.056257034591591336, 0.052650841460885715, 0.17642146628588812]"
['/organization/organization_member/member_of./organization/organization_membership/organization'],"[-0.019285460415659143, -0.02890038090446584, -0.06437475622082578, -0.03211077519574185, 0.047660356908985756, 0.13284068582838146, 0.047133250269959036, -0.14217793546007537, -0.038752674602232015, -0.045177282304672245, 0.012524266450079142, -0.1348683844620136, -0.11504691112898852, 0.02715082568335886, -0.015758247523145866, -0.008581241590706265, -0.009555808837397902, 0.008201063009220536, -0.09613951390647642, 0.12559133573617093, 0.08200626541718857, -0.0530529420004618, 0.0799290686469699, -0.13628166266353856, -0.021526926902293613, 0.11532358128805566, 0.10169317852580854, 0.07138520201134346, -0.05103409446953354, 0.1703689706790357, 0.000866297434189815, -0.14131942990174454, -0.049416052389733116, 0.014681410013297756, 0.058676698386341285, -0.08918065271678907, 0.16499586621378082, 0.10207977383930339, -0.15336597120118578, -0.012698514984669911, -0.012941102318466992, 0.007796657046238047, 0.008389710679901782, -0.0027206454590207783, -0.13872447318468373, 0.11608431949890047, 0.1440484774232724, 0.04787554635717148, 0.15106271915973254, -0.006711863813533431, 0.021933244842749677, 0.05987952607388857, -0.03709613731462623, 0.16980749349614394, -0.16849697429579372, -0.17334036878767445, 0.17189140143194231, 0.17118898704477886, 0.11865770252219277, 0.09946431913569072, 0.06767854168325176, 0.16592552495141952, -0.030404314430292668, 0.11655375009152473, -0.06996695784868609, -0.11493951697098265, -0.008564828405721387, 0.029658476521865616, -0.12968876240214797, -0.06814268555508907, -0.0663377988872427, 0.046215260990328376, 0.17022474019966857, -0.14022202232695483, 0.1302397803701718, 0.09727665693581694, 0.016890251824982504, -0.036672624983999355, -0.13777031440995216, -0.12320403813118248, 0.14416626572602564, -0.029365845658896852, 0.004638240299875397, 0.032641709563103645, -0.169320618843106, 0.1533355574851688, -0.11826243419306826, 0.04424974258594844, -0.11789570636558618, 0.0866617307178367, 0.10071401595097072, 0.07831858816424962, -0.09496314373869792, 0.0076989534492960315, -0.13976921165849462, -0.043926357640210856, -0.16932388864062084, -0.13092515020830073, 0.16996888258707216, -0.08015974485749897]"
['/american_football/football_player/receiving./american_football/player_receiving_statistics/season'],"[0.012113196580302079, 0.1597697114244188, -0.09563927562415703, -0.1594484256376557, 0.07604468638244721, -0.022495264327837397, -0.04739817269255027, -0.05765846321426778, 0.06786732441887419, -0.06981085210319271, 0.1067172061183291, 0.003498935198704068, -0.14322405393294102, 0.03415025237029767, 0.09395084299082011, -0.015931502087178064, 0.015344010930034587, -0.15890288639093975, -0.09730055744417483, 0.026980976923717027, 0.01408334633243347, 0.11271472858808532, 0.023744921177752985, -0.0470018189318657, 0.1187550645143143, -0.07391358057288233, -0.10525144412497146, 0.0058256516157849745, 0.08875456177429195, 0.05138254418714246, -0.041352307305135845, 0.10773128944189318, 0.08995583003441097, 0.1470058385993177, 0.17388369961349706, -0.10262138041502279, 0.05068064016402789, 0.08181445995943917, 0.1495293926779818, 0.12462197953459231, 0.16154460357416295, -0.08917733948997617, 0.04184869545588906, 0.1067582768085037, -0.10726384055001788, 0.08356252340404209, 0.13527969414210697, 0.08597032665976481, -0.00037939079847109514, -0.08914592467860413, 0.04862148793452459, -0.03084130544516113, -0.04400493135407546, -0.17444726294689236, -0.17951382871286725, 0.12706888228035815, -0.017136108996198093, 0.031697366417479035, 0.17068321064771047, -0.035549343610176455, -0.15499449729254064, -0.17670576495838625, -0.09367881657294319, 0.026573829329586643, -0.17046693725741213, -0.1441357068985259, -0.11493684993148047, 0.051035349285830624, -0.04753915644303147, -0.17292865896232304, -0.07158916418063384, 0.0762458164896964, 0.1488015295980872, 0.13677819534931634, -0.0496967437559533, -0.058036143279825494, 0.06486487914590251, 0.08044095511230534, -0.09145318659746221, -0.08947034317522258, 0.07678399257946333, -0.06713189832039544, 0.10848110412924447, -0.011377686188680262, -0.12097086066361183, -0.1609680186868311, -0.04860037131859527, 0.10428171075398396, 0.04072161049313501, 0.0630560635516206, 0.1642287338449572, 0.09354902678069653, 0.09563722681050571, -0.12474837230965381, -0.10790277502303966, 0.052138069045934696, 0.07653073347945692, -0.12096248293295976, -0.002869691722946549, 0.11605752444708549]"
['/user/narphorium/people/wealthy_person/net_worth./measurement_unit/dated_money_value/currency'],"[-0.1519136293856671, 0.007461948449602501, 0.008698780807865193, -0.12997598375429636, 0.16564928900285952, 0.04833297522151478, -0.14301282714549146, 0.024307167643277526, -0.13478384550313413, 0.006702327121834252, 0.02416499252574131, 0.15385687553301589, -0.09613069789593581, 0.16793534323046905, -0.006639840391264849, 0.14843578493368126, -0.056006093251082016, 0.0437610751168479, 0.14445779980286785, 0.12959948515226735, -0.12169918915310626, -0.0364434384414451, -0.08032635841898954, 0.06533119657201335, 0.01939679616989223, 0.12774037288206133, 0.007748742665508737, -0.07782866846604089, 0.13082265580988883, -0.09208897889636235, -0.16356318491954105, -0.06520313433434813, -0.1178271928953945, -0.03930960921603774, -0.11858733443242264, -0.09053749559652356, -0.019342065692757444, -0.09545845393546165, -0.07284042620133509, 0.000553082776904089, 0.0854565856986078, -0.057777401845823036, 0.14375705109796752, 0.12029953531542834, -0.12237952158181872, -0.006314809422791636, -0.0011761252348121728, -0.03254188962313811, -0.0903008059856868, 0.03545605167172523, 0.07604735536030421, -0.14249594715285752, -0.12975662474842684, 0.13581795907351513, 0.0080661467308028, 0.15104320048442987, 0.10290269571264868, 0.03947227191815901, 0.04563479592104771, 0.13909479396741725, 0.16304675534612503, -0.11617894011566339, -0.02936417288255055, -0.1426107337115232, 0.12210697186924616, -0.06011082466114453, -0.007631695760862534, -0.08556510580581762, 0.011476820714565487, -0.13419090767903108, 0.12071363221087203, -0.16180515127691897, -0.13045512046617683, -0.1265275779126107, -0.044341394557552746, 0.038683251383416675, -0.019801812424009763, -0.037913654630996135, -0.1486809649212771, -0.11804186816601306, -0.05746287369802549, 0.10215414730844628, 0.028562769457340393, 0.008443936963105933, -0.11393333120836699, 0.07224759280130465, 0.1626463703186013, -0.026122621342349554, -0.06728563009559418, -0.154707909096631, -0.10919619564560659, -0.13584725800142528, -0.024836409080347628, 0.03807002794762339, 0.12226262492148249, 0.011460891765915407, 0.020009611791731125, -0.15367024598794177, 0.1351473794667685, -0.1336593536059143]"
['/sports/sports_team/roster./soccer/football_roster_position/player'],"[0.009871178303811564, 0.08297292102758029, -0.16514475695183775, 0.07976174087526104, 0.14964557723501418, 0.11625345485255628, 0.05002278539871246, -0.07710925350681821, 0.09348944691551428, 0.04772490685170416, -0.0369323969881777, 0.1328803577906987, -0.08412707530730994, -0.09687259031653256, -0.041318596104045, 0.023048571725779197, 0.025191386308997782, -0.14940654777061427, -0.0026320801305547248, 0.11083106815679797, -0.14327393080402467, -0.09076275840340567, 0.09474599970659374, 0.03538055015582826, 0.16306297692094288, 0.11379038071433104, -0.028883548732795482, -0.10557215621331227, 0.13165024326038346, -0.1371977438890919, -0.0692800779245916, 0.10090609500730365, -0.1365892257338089, 0.12914648614060012, 0.15915780847040759, -0.1260589230750401, 0.006672706848666119, -0.055443530669371834, 0.07567613142861071, -0.15793127955783215, 0.071618965660863, 0.008028778332153411, -0.018703601287526787, 0.09138018862393155, -0.12489592477449664, 0.06979787838969256, 0.03545773054833795, 0.07922611703855793, 0.14656369731122923, -0.11383294642995515, 0.05133000133005534, -0.09397408918185471, -0.07154008772211971, -0.1002786922485158, -0.0426825809687861, 0.038850857777052494, 0.09894758383333732, 0.08180308736438205, 0.052461992915348137, 0.09833986775442612, -0.1531549972423547, -0.10917996534740906, 0.04132903088761374, -0.06254058585953325, -0.039588717151688685, 0.16431700192324564, 0.11959725464440314, -0.15357610011787748, -0.11301880336328894, -0.05695150981810494, 0.0916728715325645, 0.05162269569067262, 0.04855617482361947, 0.1522360990079168, 0.16013026764858465, 0.06576516899795783, -0.03374356727608729, -0.08955661878669859, 0.11134982919255286, 0.14013143902193523, 0.14839925526786663, -0.03460637961795539, 0.10910167187222057, 0.002640431273667438, -0.10414362592612993, 0.06099096361563525, 0.07430373599129553, -0.14887998155814572, 0.10587776109093842, 0.10808694539125983, -0.014547001467476747, 0.005662297836746664, -0.16379608737997006, -0.015968663431322395, -0.17004387455674927, 0.03282521394895492, 0.07859678777116026, 0.1713752951785237, -0.13826968964184252, 0.01841107114829284]"
['/business/company_type/companies_of_this_type'],"[0.005407832453054327, 0.1659366892486529, -0.11853707376862041, 0.15980036849502163, 0.13274464019943957, 0.020209477364210214, 0.044662996287131995, -0.0032722512105254143, 0.0949337211108738, -0.004726760286668774, -0.16241723505195882, -0.016391109588885667, -0.14293554980149561, 0.06712252980535731, -0.14475846630192296, 0.030428663086817166, -0.07821893121106707, -0.11869250271082853, 0.03164372568365268, 0.04295927558593866, 0.09829383147019072, -0.16853054784328333, -0.1545733605739921, 0.09308762347197568, -0.08107264109438021, -0.16465248912365676, 0.13741354463583405, 0.1286533268848439, 0.01016395784149027, -0.10777680562434165, -0.13387279720632828, -0.04825031719304365, 0.12908211182831125, 0.12665483532891444, 0.07390187536744448, -0.05319449180404773, -0.0698427132185046, -0.13428372993489376, 0.11019841748492183, 0.11897892729855974, -0.03511779519604296, -0.048178470746233736, -0.15827126353022677, 0.15712125375977087, 0.116279796704636, -0.1486511295099017, -0.06756413670534293, 0.05582155370245255, -0.00669545284127705, 0.06677213338073279, 0.11279803568792358, -0.10431083204410577, -0.10717200618213824, 0.09741510503834579, 0.1134720728441157, 0.08505023072616444, -0.018984146650906635, -0.10333358085982906, -0.05363817071959854, -0.08614011298682704, 0.02426186007181545, -0.0796103281377582, -0.01794653227230706, -0.07717933646490206, -0.08860227222216678, -0.05281723305811185, 0.13829668482703183, -0.15466739261723958, 0.14603301029279692, 0.10210313286430261, -0.06331733602283209, -0.06068780496561817, -0.07373050803108741, 0.041585394367244476, -0.019110533111646094, -0.07406328606732639, 0.04489145216126348, -0.12957670405369728, 0.15388800394176064, 0.08741505418067677, 0.06014832959934234, 0.1649278037712507, 0.12604687175586693, -0.10029465250270764, -0.16055940189689397, 0.04136701886174959, 0.07222776299918235, 0.16816028997840549, 0.09185253429862941, 0.052672471769202395, 0.0054542844686908286, 0.06943850909980079, -0.03233741910347634, 0.15484241116190245, 0.017580779815775393, 0.03484582082571362, 0.028454627872265915, 0.1622864387320946, 0.0024199462590316, 0.03517395900940927]"
