['/people/appointed_role/appointment./people/appointment/appointed_by'],"[-0.0016705218556002787, -0.0005295543253902704, 0.001569056708358681, -0.0005715469860795117, 0.0015330397544326855, -0.0016367416011802067, 0.1810582013676339, 0.021275436534776673, 0.0005017333302293755, 0.0006488421116199465, -0.183114222329544, 0.0017068485174465875, 0.1831300034121642, -0.019928917858469182, -0.0005948511249932193, 0.001669889229920763, -0.01939681135860436, -0.1815527514631428, -0.0015180826785542694, 0.021306485152444196, -0.0009609573492313459, 0.18162079565345948, 8.06639384558209e-05, 0.020035849492644843, 0.02240393236429644, -0.0007699717649711269, 0.18234443805972295, -0.021350622545733645, -0.020023046613510294, -0.01974285914633435, 0.019912430620450113, 0.180351127250666, -0.18307582313061127, 0.0008280601470829652, -0.020391413010243994, 0.18220417651877446, -0.1820380712327258, -0.020072002819738678, 0.00028430374840295866, 0.0007304896543253236, 0.18131915056260506, -0.0002700651435972123, 0.18227743042090502, 0.0007817039390183198, -0.0002815232954082905, 0.18029660687141563, 0.18275317096648297, 0.0006387172198804282, 0.0009839021363336857, 0.019824679347291867, -0.0012787448757224393, 0.001166762661709182, -0.0016833991612598847, 0.18095156354837275, 0.0010039065345745514, 0.17995117747578102, 0.18182699215382012, -0.18030767994821117, -0.0015220604997606526, -0.1824985219712555, 0.0005298122478163339, -0.0008178396485565924, 0.18302916528515328, 0.0014792323026298546, 0.18185191848958449, -0.0016103823518785643, -0.0014627386911817198, 0.0005086419732788326, 0.020203951264982988, -0.0014322466960937567, 0.021171533270512372, 0.0012531345071623314, 0.0002738233918331944, -0.022744424488394577, 0.0009365310573179829, -0.0193513398749267, 0.0006763144328108092, -0.0005494825312918037, 0.0005482698095029811, 0.0008106685408655952, -0.1828945045750657, -0.0014899435456117965, 0.1818969557900703, 0.0012706384815800542, -0.1811712386127585, -0.0008741878972449363, 0.001000657640865284, -0.0013979705030613965, 0.0014519450531843042, -0.022072909355757793, 0.18089171379409955, -0.0004300955940005596, 0.0015471114802090944, 0.022063911279361963, 0.18315752497642301, -0.18143215682094205, 0.1827598240486724, -0.18166361958596106, 0.18117118920792835, -0.0006610366738349584]"
['/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency'],"[0.023644603763980622, 0.19923812936773724, 0.023646223896989588, 0.19923649601757498, -0.02382979981395214, 1.1411813848527411e-10, -0.023623847415181733, -0.0021473773636438015, -1.7826474418774481e-06, -0.19925707496631906, 0.0021473639173193123, 0.1992361948793887, 0.001940987017048356, 2.0729570360197474e-05, 0.023624011368844334, 0.00020607723199272788, 2.0729685262091443e-05, 1.7974195892293568e-06, -0.19925707495638537, 0.00020788699343403846, 0.002147213295862202, 1.9210428162899383e-06, -0.0002060759918226439, 0.023829964986990755, 1.7840973986575575e-06, 0.0023533028489804526, -0.0023550733958770434, 0.00020610289611737854, 0.0021679443153108276, -0.00020430546652001248, 2.074301824550657e-05, 0.002147363917402084, 0.002147214754960514, 0.002126470393228056, -0.0021472269726930775, 1.0001467616000415e-11, -0.19925529097388173, -0.199442436169296, -2.0730799809360275e-05, 0.023622078222570876, 0.0002062521733712025, -0.00020608944821601057, 0.0021471999635882533, 0.023624011368919572, 0.19921560236856514, -0.021497378260552015, 2.251343873708618e-05, -0.0023533028496898417, -0.19923812936931412, 2.057760454178909e-05, 2.056561662062261e-05, 0.02364458897268349, 0.19944420537965293, -0.19923649600827534, -0.1970891305269563, -0.0021470627891496483, 0.0019411253159680331, -2.266405870783146e-05, 0.19923634404253204, 0.023623709135493835, 0.19923812937774624, -0.19923827975947167, -0.0021454159810171346, 0.19923619489018232, 0.19923456139359635, 2.0592625643460262e-05, -7.09389126851983e-13, 0.02383010226553078, -0.19923634539611013, 0.02382979991955604, -0.19923634538524132, -0.002147363917402073, 0.0021661589977685232, 0.1968828921345935, 0.023831719500836495, -0.0021680936025898975, -0.19923633193892448, -1.894424436874044e-05, 0.19944243361645972, 0.0021473638032165356, 0.002145442770325445, -0.19923634537529988, 0.021478432892485095, 0.00018714386122007726, 1.935842635956005e-06, 0.0019409868922119064, 0.19923456140431553, -0.023417920564054596, 1.9480511297274036e-06, 0.023623997921817224, -0.021476799291722283, 1.894558715402264e-05, -1.894704705213802e-05, 0.002145429428193829, 1.0793628577176156e-11, 0.00020610290603579782, 0.19729701885394185, 1.6336006952140188e-06, -0.002147363916534694, -0.00020607600191453675]"
['/tv/tv_series_episode/guest_stars./tv/tv_guest_role/actor'],"[0.02576077220267333, 0.0012854172558252033, 0.0013942994095305385, -0.0010818047125002986, -0.22695916723259907, 0.22929157824384339, 0.00030272857860921733, -0.001777849856481609, 0.00038145553583356664, 0.2301029878683511, 0.22678822101101562, -0.0019902804032885506, 3.67775661035132e-05, 0.0002534746829507177, -0.23036471230331546, 5.0355123109653665e-05, -0.0005455791289520575, -0.0019821066419749437, -0.026707783492256967, 0.0009727576919716846, -0.22937347388258525, 0.0018266004765473615, 0.0018422234484030638, -0.2265670099782241, -0.002045199469214006, -0.22853577972141936, 0.2262514656404254, -0.024244126032117775, 0.22738187350972092, -0.0014167359579775418, 0.02765414848354696, 0.22862569214420495, -0.22632693498479717, 0.0008887901378547078, -0.0013191288039001176, -0.22828948762677767, -0.001667424563186791, 0.0016360325348382654, 0.2263208144891478, -0.001786564787014738, -0.0008994073987412592, 6.11005400173167e-05, 0.025344551816346827, -0.026466713021043666, 0.0009650638177472965, -0.027808440937785287, -0.0006807213535393679, -0.0016333898400236254, -0.2270580147899807, -1.4045213050141951e-05, 0.02709164299949478, 0.02637611925445222, -0.0010630050601339231, 0.001626175763897293, -0.025925753281657426, 0.0012988014443643331, -0.0002354659984443867, -0.2269756508848499, -0.0018989057833630198, -0.025207764973612077, -0.001839721854353815, 0.002077503799618205, 0.001518078947227814, -0.0012037200344158516, 0.0015770939914737674, -0.027660505021279504, 0.0013024125562847717, -0.00014536001953791946, 0.025457155916869697, -0.001689785954801932, -0.0012109465464351596, 0.024122208311146236, 0.0009714099117336702, 0.22810761714875627, -0.02721169010381032, 0.0014276845383847025, -0.2272747170817826, 0.0019652674722918312, -0.00147713829842158, -0.0008240610163741108, 0.0014055227295632466, 0.22982939612395495, 0.0014498146238012925, 0.00032373357783886404, 0.0006923675487748934, -0.024337848996059418, 0.0012807253869897043, 0.0005258545234048076, -0.024866663350062105, -0.0018832719043270377, -0.002117086224755731, 0.0019503563483925786, 0.0012372142095018854, 0.0001704567050517315, -0.025914760045799103, -0.0008730922179446561, -0.02603119088133667, -0.001954887291393391, 0.0001425550112056477, 0.0007807447883523159]"
['/music/performance_role/track_performances./music/track_contribution/contributor'],"[-0.0015832997470957221, 0.019073171809583695, -0.00017239489962113296, -1.6443909599482186e-05, 0.20838869571100616, -1.3309360698158995e-06, -0.019070360979470107, 1.277815554322135e-07, -1.3318989235020975e-06, 1.2671346871404145e-07, 0.20838721475628874, 0.18929906955108558, -0.020656470489240204, 0.20835284908132592, 0.00017238434625861237, -0.001586237475517793, 0.0015848949361839779, -1.2680998716150852e-07, -1.45976816778757e-06, 0.0015846413155630999, 0.017486944959704428, 1.6582146003292174e-05, -1.1617686731608234e-07, -0.0001723959575692885, 0.209955540041034, -1.2689915920383747e-07, -0.00017385254786460948, -0.20837078158516367, 0.0015834255847913346, 0.00017239489169480965, -0.019055258639045745, 0.18929906946262823, 1.6454454268493155e-05, 0.0015849055767829818, -0.001583183577567339, -0.0001738642482807373, -0.20837089872482392, -0.01889931722349348, -0.2085446255225855, -0.0015847681247668352, 1.4683799645056881e-06, -0.2258412401744122, -0.2083707622524372, 8.039616481111371e-11, -0.00017077842816664698, 0.0015847565939790624, 1.0552722593326346e-08, 0.00018749626048330243, 0.020656460995820945, 0.22902724249246711, -0.020673051841878447, -0.2081969183150077, -0.20837224127292722, 0.2258577062332941, -1.6327724684401895e-05, 0.017503388781575254, -0.18771295871592492, 1.4692608572913497e-06, -0.0015847574843021923, 0.20678613051075026, -0.0015681868605122214, -0.00017237362396024716, 1.7924775150730953e-05, 0.020640017182666354, -0.0206401418659701, 0.019070222468993276, 0.00017238416998444786, -0.20819838862782886, 0.0015846413162778187, -0.22728654553495442, -0.0015683030301083174, 1.7786432737437594e-05, 0.00017239489897362937, -1.6443821864396022e-05, 0.00015752595548055592, -1.151979531607498e-07, -9.708535171647623e-10, 0.018899328835460368, 0.017501919422769557, 0.0015848949274746911, -1.6453571878695976e-05, 0.20995554003154235, 0.18929919636106468, -0.0016012120270939751, 0.019071702540598076, 0.0015846413155625795, -0.0015847787667290908, -0.001583298767465194, -0.00017237361668151995, 0.019073171891343218, 0.18771431197754374, -0.01907157564215468, -1.7923812357840387e-05, 1.3435108961635778e-06, 0.020673051753487763, -0.0015847681255562183, 0.018897848852371904, -1.0633051554440139e-08, 0.01905671734725461, -0.20819838862782997]"
['/medicine/disease/prevention_factors'],"[-0.03506168205327835, -0.04384640276964019, 0.04016275018212176, 0.07890081892282491, 0.10537962065453145, 0.12608777162092033, -0.06014361529833629, 0.16352824923407383, 0.107357932796414, 0.051453899685637086, 0.12192743604269583, -0.002202392396141687, 0.07170428146117322, 0.1770549549558057, -0.11314011335158661, 0.005466996243936501, 0.13575687818843585, 0.18268995542911168, -0.0736663200053686, -0.012346876929204305, 0.11221997462553268, 0.1074554339042184, 0.0579730845853555, 0.16916966215978996, -0.09636772983069307, 0.04033442787558816, -0.06871753854736234, -0.027476616354098468, -0.007233636329310868, 0.012546324726771302, -0.040557558467697506, 0.15396875211779784, -0.14576865786242352, -0.13097823104839668, -0.030718346692841837, -0.0009205369255066875, -0.09508395126306936, -0.06473901166730162, 0.0116948673850802, 0.17974608421678973, -0.08400769128616754, -0.17022918006872198, -0.12904869968758917, -0.014091892915288874, 0.1367644979452818, -0.10616036848663621, 0.1200103627953019, 0.009236016961049932, -0.024497267674107405, -0.007050470067938613, -0.016281430820817202, -0.11087799150894871, 0.10532397035444578, 0.1535998443976922, 0.09121964259927162, -0.13715848052592436, 0.07895307737657768, 0.07553336375945754, 0.038937306828688754, 0.09843401811679768, 0.023600840292430585, 0.06395388037623265, -0.07328071405118633, 0.0660456808458705, -0.00948268908750691, 0.08340187856980022, -0.02841912622451401, -0.058342521127615454, -0.019242833925549423, -0.0707349182175145, 0.0308333858813048, 0.14438375345550944, 0.12081464242798919, -0.056834166708904656, -0.007988159214830929, 0.16896677298585608, 0.03976087519388739, 0.07760618789242739, -0.09310270569060222, 0.026627118388639397, 0.11165971976623791, 0.10689440976660802, -0.14666572124670924, 0.1290038051133153, 0.0041526054114142865, 0.1578479911287466, -0.14393807735691128, -0.13499120858373764, -0.07437634767346733, -0.04295122428861755, 0.004281734143775229, -0.1696619494363239, -0.1739569817962115, -0.15043080181056923, -0.14926803236847372, 0.12129192667526714, -0.1606605067138434, -0.01889639893345914, 0.1510997295645136, -0.008164677375387333]"
['/organization/organization_member/member_of./organization/organization_membership/organization'],"[1.3494040138405319e-08, -1.4799499581502054e-08, 0.0021940918019536545, -0.0022171382098205945, 0.002216961365812487, 1.7564696555839775e-07, -0.18186950349310654, -0.18163174511538188, 0.00023772906785073268, -0.018922134267586963, -0.01890076452143026, -0.0002359209664626331, 1.6606393134970904e-06, 0.01890063177797781, -0.18186768199659065, 1.206856076538776e-09, -0.17965055969345672, -0.01890261429278572, -0.018898957634966133, 0.00023593566719660878, 0.002217122412540346, 0.18408662589584043, 2.1209923238903947e-05, -1.9826233791773053e-06, -0.018900778015400518, 0.018898971236511103, -0.00025695656605269573, -0.18184829466816116, -0.18210360306263843, -0.18184829364999622, 0.01889895652861335, -0.18187133987815882, 0.002195912173401143, 0.1818713239642471, -2.1210022831061835e-05, -0.019115330441643624, -1.821577470097016e-06, 0.1818907137044818, -1.1080214155346054e-09, -2.1369853885043474e-05, -0.0019812000239099793, -0.01889895633109683, 0.18186934264564064, -0.002217123509914019, 0.18163358140166944, 0.18189269613034528, -0.0022152859196811554, -0.018664855834021603, 0.18186768189783273, 0.18210707172155777, -0.00021472686735682904, -0.01890077681835702, -0.18187116543713064, 0.18184829356013196, -0.018900631768156703, -1.822792401065494e-06, 0.18186950368263274, 1.8362854532707117e-06, -2.303160921114388e-05, 0.18189055146169236, -0.01890061587129129, 0.002217123509906336, -1.206702438874767e-09, 0.018643805651146907, -0.0021959122812149146, -0.002218942684395686, -0.01866469489594258, 0.17963117135584047, 1.6093815659992577e-07, -0.1818694876771261, -1.4798673039541716e-08, 1.8215854673523646e-06, -0.018900938855641345, 0.018900939052245064, -2.1210022830223885e-05, 0.0024512217917815847, -0.18184845448940257, -0.01866485703920904, -1.4699899659955638e-08, 0.018664842331992733, -0.0021941065107547687, -0.18186934394950904, -0.0021942517325152016, -0.00023592217232214455, -0.018923809624533154, 0.1818693414388614, -0.18208422933416915, -1.966708625347512e-06, 0.00221710759516028, -0.018879554507508507, 0.18186966321635464, -1.9388445353110297e-05, 1.954948227446801e-05, -0.18189087464273165, 0.1821054404650067, 0.1821052635222469, 1.4691841133284873e-08, -2.1050388604979054e-05, 0.018898956437922648, -0.0002357601358729227]"
['/american_football/football_player/receiving./american_football/player_receiving_statistics/season'],"[-0.04503321262321295, 0.09325543266213077, 0.02706323735642467, -0.13276239744340113, -0.1456545132233163, -0.07073073917006174, -0.06562741845839813, -0.011261867943990497, -0.06760442041477967, 0.07237881926015297, -0.042235946835086066, -0.13463631626258096, -0.16248071238044068, -0.08704687819011124, 0.10302155390551283, -0.02767940589794033, -0.046386929042063464, -0.03983387386983005, -0.14669097031890463, 0.0033899774828751316, -0.08620858722988134, -0.004511135485218104, 0.06553920399533168, -0.019953194928212348, -0.0038471670591468696, -0.16182267859012497, -0.02559472648541467, 0.01582385947046182, 0.10044901375609391, 0.11881141634483319, -0.025064682554218322, 0.08222288373540985, 0.14608445026282543, -0.1472399809432006, -0.1496439166767159, -0.07490123680209887, 0.09869562365556726, -0.15247837415148238, 0.04768832980111982, -0.03152036353410602, -0.11591463932195731, 0.01895157573313344, -0.11273651305384971, -0.1639143778577701, -0.16265861411673863, 0.11989770501302023, 0.10267962047005304, -2.1456336009218536e-05, 0.00999109321466663, -0.044499274301467384, -0.13886965617669905, -0.1472237946721126, 0.16496131585824353, 0.10653852284617196, 0.13591017870907773, -0.10920726745747096, -0.03769912248797789, -0.14603905939232764, 0.03222245618779298, 0.10508821968585415, 0.056599273129070427, 0.15517774072950927, -0.16650494797566903, 0.04020436966960776, -0.12307027140100486, 0.13096404641741533, 0.010371596688260926, 0.05183840625210469, 0.14656481504349483, -0.04171308343029541, 0.1489459396606684, 0.05759232978968146, 0.03598397039242896, 0.03346099098701581, -0.05184665969611633, -0.1643018686735667, -0.1186771111836636, 0.1602036037726425, -0.03268279075730861, 0.08785856431901597, -0.091732190141409, -0.0217505804044765, 0.14099496144670098, 0.16603081302558573, -0.01412635148933744, -0.1130250644469583, 0.07247239308794733, 0.1200431869374317, -0.09863004785277896, 0.1174529185545337, 0.098481544760062, -0.1178288967220296, 0.10658083820744087, -0.0825066134293418, 0.02960054968684196, 0.03123041433959886, 0.08910297231301244, 0.15431983279696354, -0.018067103865621825, -0.0310248246423287]"
['/user/narphorium/people/wealthy_person/net_worth./measurement_unit/dated_money_value/currency'],"[-0.1694952939746355, 0.015465140640115558, 0.014810003614609296, 0.16950822400311055, -0.01656992823313732, -0.1715694446664849, -0.0008342994414040826, 0.017017261341655716, -0.15417919066564867, -0.000970001468608398, -0.0009699923262773695, -0.016414292781865018, -0.17029806924793525, 0.01516367704811853, 0.016593083193291537, 7.387254916488564e-05, 0.17117417531410814, -0.000361436688191617, 0.0008727078058007936, 0.0007903417088720982, 0.17001109106823073, -0.0012686094849322005, -0.015611846387726551, -0.17116406297030107, -0.0008903581725091414, 0.0006086846412392916, -0.0002845893333067517, -0.00018078270682920583, 0.0006061765852769379, 2.761806297890235e-05, 0.0012417957313759064, 0.0170812928305067, 0.0010303527897582948, -2.5938658448019014e-05, 0.016655356354222432, -0.0008011519043694613, 0.17135903110524786, 3.0486086941589076e-05, 0.015733783354018746, 0.17186042273332533, -0.0012340144602453356, -0.16985763822427638, -0.1873514003601316, 0.15531675811380588, -0.00021310608409876505, 0.00032329406689991655, 0.17158980358333756, 0.0012647111136688406, 0.00026588901651799005, -5.800177687819421e-05, 0.000885165578841993, -0.17186483800446625, -0.1696016296871081, -0.18657408266077016, -0.16971851928570056, -0.15580400468629518, -0.0008029865809868299, -0.0010760836171177562, -0.1552559889078761, -0.16995128700272363, 0.17156796996616228, 0.17178401491227221, -0.0012369800766980446, 0.016825856205836074, 0.18636466236398647, -0.00041589442077271017, 0.17130493757736537, 0.17055690472641094, 0.0009437818507618877, -0.17132083567313178, 0.0012749033489968347, 0.016275516578910826, -0.0005774680247961797, 0.0011039569448020674, -0.17150929588244215, -0.0005434811626582936, 0.0003350023826834546, -0.016332069038799808, -0.1707695538908173, -0.17125182172908848, -0.014715633607462192, 0.01688908194026704, -4.0402863758475617e-05, -0.016642324758006574, -0.0002767764826563217, 0.16981686083006736, -0.016707753182705107, -0.1877664433007153, 0.015067998599558917, -0.0002798920129615096, -0.001308413027698588, 0.0006254524297876194, -0.0003334713066919158, -0.1718318612077911, 0.0012321396144859666, 0.015489703596633384, -0.0004107380703491226, 0.00026225980728560006, 0.17034235817130636, -0.0012508371526284813]"
['/sports/sports_team/roster./soccer/football_roster_position/player'],"[-0.19416613217479134, 1.1993185139373353e-13, -0.015995248910185344, 1.4749386728241757e-06, 0.17833253204785454, 0.01567462149824459, -1.5454682085581658e-05, 0.17833253081483408, -1.39965262326649e-07, 0.015850389958318337, -1.1662394185277628e-08, 0.1768447445345623, -0.00016178749799186068, 0.0014723328343145686, 0.014347147615449972, 0.001470729592535274, -0.015834935131730052, 1.4449025156112537e-10, 0.015674621210517783, 0.16249759691737925, -0.17831707738438837, 0.0001742935215067883, -0.00016178749661988583, -1.3733310672843472e-12, 0.01583493513185134, -0.0014877862788984335, -1.2898295309401816e-08, -1.4748099213240127e-06, -1.2690523093173534e-07, 0.01434862504191621, 0.001503353876508359, -0.1640011048794214, -1.5443019809833415e-05, -0.015833460177305872, 0.17831706323306726, 0.0014877850629884393, -0.014362603678045207, 0.178332659097697, 0.0014876592320313907, 1.3480505665571083e-06, 0.014331566975174535, 0.01585186353245846, 0.0014877862803791143, 0.17684487280168648, 1.4749715361115489e-06, -0.015674748403488252, -0.014345800946900408, -0.17833267199885874, -0.17849297286016108, -0.17833265909769686, 0.19416611925949265, 0.17817234532085477, 1.2705133421967533e-07, -0.001486298427646758, -0.0014877979427718145, -0.01583346141343415, -0.17833278629350985, -0.014348749619716442, -1.2176324986734813e-15, 0.014347275755341329, -0.19416758133275752, -1.269053508734862e-07, 0.00016032669214214885, 0.1781878000029402, 0.015835062035707573, 0.0001601867284930071, -0.1768464748246896, -0.015834933894335792, 1.7069584647262825e-05, -0.17849297286016091, 0.17833253219382517, -0.1798360272574775, -0.0015033538778677516, -0.00148643837591437, -0.17849298577570097, 0.1798190973319891, 0.00016178749501820412, 0.015996723862996165, 0.17833118290725178, 0.015850518082672793, -0.17815689187641615, 0.015819366298100285, 0.0014877850444778515, -0.0015033551125296922, 0.00016031501423661247, 1.5454699222868128e-05, 0.17981897042514627, -0.015819366299712114, 0.00016031376258399636, -0.17833278600441974, 0.17833264496475382, -0.0015033808933561082, 0.01583641133930008, 0.01583493511460523, -0.17831706445172513, 0.015834808081889064, 0.17833267076145165, -0.000161788732639447, 0.01567315929762564, -0.015850517008253795]"
['/business/company_type/companies_of_this_type'],"[0.16628315475111377, -0.15260097664508213, -0.013927340083493665, 0.013973130244686726, 0.013972909444103008, -0.013950135711001238, 0.01539366184571633, 2.2775864714771864e-05, -0.16657410671387113, 2.3050989566203836e-06, -0.01392758045620175, 0.0014205317582736427, 2.277409689809382e-05, 1.7180633462963447e-10, 0.16652853735323764, -0.16510780648356682, 0.16799508005291305, 2.2992594012789938e-05, 0.18050144892478331, -0.013950135882774113, 0.1665490317422829, -0.0014435243521130157, -2.206258474417506e-07, 0.0014435026978925263, -0.1665285592112372, -0.18050168734318336, -0.16655133490287732, 0.0014458294671692204, 0.013970827069418408, -0.16654902980396372, 0.166551331023476, 0.013973130241784272, 0.1665308837281896, 0.013684040237392022, -0.1804991656723183, -0.16655133100754158, -2.2793668957317912e-05, -0.0014460520489580069, 0.013947832361109476, -0.01395011402330812, -2.305115009709439e-06, -2.2061141489626346e-07, -0.166551332963343, 0.013950135709704194, 0.1651055033228231, 0.1805014686728648, 0.001441002522611877, 0.013972929380048921, -0.16510778497040604, 0.013950378177744435, -1.3446221725415942e-12, 0.15260117539398574, 0.1668197532984462, -0.0014458314388598116, -2.225509764913718e-07, -0.01395243888492511, -0.0014663000585760314, -0.001466298291960717, 0.0002660956466356644, 2.2553313706707257e-05, -0.15260139602006803, 2.2773923771535774e-05, -2.2773925126984378e-05, 0.01395243694516984, -0.16652856097920318, -2.1513353658083133e-08, -2.1670486159308882e-08, 0.0014663219181351914, -0.013950334460005842, -0.013927340288544414, 2.277393981660902e-05, 0.1665287815731693, -0.16510780665536975, -0.16654905130139822, 0.15259889601668816, 0.15260350238602186, -0.01539366394115812, 1.8910169865716197e-10, 0.013950356320993278, 0.001441002522770187, 0.013970828991700717, -0.013950135711046929, 0.16510780473314982, -0.013950135709645022, -2.15117486838631e-08, 0.16797210704847543, -0.00026839669310374487, -0.013950376066350868, -0.16682203496055134, -0.16655133296318997, -0.16652858089772324, -2.2773750551561643e-05, -0.01395015722297259, -0.0002684203338393967, -2.255348825540138e-05, 0.16801785378891126, 0.001441223116501068, 0.0014662766213828983, 2.277198398388926e-05, 0.1665743276702004]"
