序号,labels,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
1,0,1111110000000000,131,0,0,0,201704,95.71,102.55,6.84,400,2388,41,1111110000000000,201704,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,3528,3654.0,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201704,1,3,0,0,0,30600
2,0,1111110000000000,121,0,0,0,201704,136.69,145.53,8.84,400,1820,41,1111110000000000,201704,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,3528,3654.0,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201704,1,3,0,0,0,30600
3,0,1111110000000000,123,2,0,0,201704,42.25,45.53,3.28,400,608,41,1111110000000000,201704,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,3528,3654.0,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201704,1,3,0,0,0,30600
4,0,1111110000000000,121,0,0,0,201704,136.69,145.53,8.84,400,1820,41,1111110000000000,201704,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,3528,3654.0,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201704,1,3,0,81,387,387
5,0,1111110000000000,123,2,0,0,201704,42.25,45.53,3.28,400,608,41,1111110000000000,201704,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,3528,3654.0,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201704,1,3,0,81,387,387
6,0,1111110000000000,124,3,0,0,201707,74.07,95.48,21.41,400,2628,41,1111110000000000,201707,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,17728,16369.51,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201707,1,3,0,81,376,376
7,0,1111110000000000,125,4,0,0,201707,41.94,52.24,10.3,400,1360,41,1111110000000000,201707,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,17728,16369.51,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201707,1,3,0,81,376,376
8,0,1111110000000000,124,3,0,0,201706,67.5,74.07,6.57,400,1588,41,1111110000000000,201706,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,5948,5765.07,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201706,1,3,0,81,376,376
9,0,1111110000000000,121,0,0,0,201706,155.03,169.89,14.86,400,3804,41,1111110000000000,201706,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,5948,5765.07,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201706,1,3,0,81,376,376
10,0,1111110000000000,125,4,0,0,201706,38.54,41.94,3.4,400,836,41,1111110000000000,201706,61100100000000,61100100000000,1,8,200,32002001,0.8733,0,0,5948,5765.07,1,61100100000000,61100100000000,1,7,250,250,3,1,30,201706,1,3,0,81,376,376
